land_type,date,price
Forest land,1990,965.0
Forest land,1991,973.4
Forest land,1992,981.8
Forest land,1993,990.2
Forest land,1994,998.6
Forest land,1995,1007.0
Forest land,1996,1015.4
Forest land,1997,1023.8
Forest land,1998,1032.2
Forest land,1999,1040.6
Forest land,2000,1049.0
Forest land,2001,1072.2
Forest land,2002,1095.4
Forest land,2003,1118.6
Forest land,2004,1141.8
Forest land,2005,1165.0
Forest land,2006,1181.4
Forest land,2007,1197.8
Forest land,2008,1214.2
Forest land,2009,1230.6
Forest land,2010,1247.0
Forest land,2011,1270.4
Forest land,2012,1293.8
Forest land,2013,1317.2
Forest land,2014,1340.6
Forest land,2015,1364.0
Forest land,2016,1364.0
Forest land,2017,1364.0
